"sentence","noun_phrase","grammatical","corrected"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","The discussion","yes","The discussion"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","the lenition processes","yes","the lenition processes"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","relation","yes","relation"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","tense marking","yes","tense marking"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","Ecuadorian Siona","yes","Ecuadorian Siona"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","other closely related languages","yes","other closely related languages"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","the developing field","yes","the developing field"
"The discussion of the lenition processes in relation to tense marking in Ecuadorian Siona and in other closely related languages can indeed be viewed within the developing field of microvariational studies .","microvariational studies","yes","microvariational studies"
"NOMINAL ENCLITIC =CHI AS AN INSTANCE OF FICTIVE MOTION IN YURAKARÌä","AN INSTANCE","yes","AN INSTANCE"
"NOMINAL ENCLITIC =CHI AS AN INSTANCE OF FICTIVE MOTION IN YURAKARÌä","NOMINAL ENCLITIC =CHI","yes","NOMINAL ENCLITIC =CHI"
"NOMINAL ENCLITIC =CHI AS AN INSTANCE OF FICTIVE MOTION IN YURAKARÌä","FICTIVE MOTION","yes","FICTIVE MOTION"
